Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340124,-,Albay,Philippines,13.13,123.74,8,91,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Pressure,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,9,30,27.2,3.9,1009,76.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,10,30,27.6,3.9,1009,74.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,11,30,27.9,4,1008,73.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,12,30,27.9,3.9,1007,73.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,13,30,27.8,3.8,1007,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,14,30,27.3,3.7,1007,75.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,15,30,26.6,3.4,1008,79.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,16,30,25.6,2.8,1008,86.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,17,30,24.8,2.3,1009,91.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,18,30,24.5,2.3,1009,92.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,19,30,24.4,2.4,1010,93.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,20,30,24.2,2.4,1010,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,21,30,24.1,2.3,1010,94.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,22,30,24,2.4,1010,94.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,7,23,30,23.9,2.5,1009,93.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,8,0,30,23.8,2.6,1009,93.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,8,1,30,23.7,2.8,1009,92.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
